Angola: 2476
MPLA: 2176
regime: 2110
Eduardo dos Santos: 646
Eleições: 612
Portugal: 557
Corrupção: 467
Luanda: 449
crise: 448
UNITA: 440
Economia: 391
Petróleo: 385
joão lourenço: 326
ditadura: 322
Isabel dos Santos: 279
Sonangol: 277
activistas: 272
África: 259
Governo: 246
Cabinda: 235
liberdade: 220
promessas: 210
Fome: 206
dos santos: 201
EUA: 179
bajulação: 179
Casa-CE: 175
ONU: 167
povo: 165
Moçambique: 164
julgamento: 162
guerra: 162
Saúde: 161
Polícia: 160
CNE: 160
Nepotismo: 158
Democracia: 155
luta: 154
OGE: 148
Presidente: 142
Justiça: 138
Direitos Humanos: 138
fraude: 125
mortes: 112
CPLP: 110
Manuel Vicente: 110
Brasil: 110
Militares: 109
China: 108
Oposição: 107
Lusofonia: 106
Jornalistas: 104
Crianças: 100
Europa: 100
Luaty Beirão: 100
mentiras: 99
Frelimo: 98
pobres: 96
Huambo: 95
miséria: 95
crescimento: 95
manifestação: 94
flec: 92
Renamo: 91
tribunal: 91
Parlamento: 89
Cultura: 88
produção: 86
Rafael Marques: 86
Ministro: 83
lei: 83
Livro: 82
Lisboa: 79
BNA: 79
samakuva: 79
Presos: 79
Cabo-Verde: 78
apoio: 78
FMI: 77
Independência: 76
Diamantes: 75
Dinheiro: 74
angolanos: 74
Divisas: 73
BESA: 73
prisão: 73
Guiné-Bissau: 72
propaganda: 70
Cooperação: 69
repressão: 68
poder: 68
investimentos: 68
pgr: 68
Apoios: 66
william tonet: 66
imprensa: 66
Dólares: 66
roubo: 66
vergonha: 66
negócios: 65
milhões: 62
Guiné Equatorial: 62
FAA: 62
Jornal de Angola: 62
mortos: 62
Folha 8: 61
Finanças: 60
constituição: 60
política: 60
Agostinho Neto: 59
jovens: 59
paz: 59
bancos: 58
manipulação: 58
Censura: 57
deputados: 57
Malária: 56
revolta: 56
Savimbi: 56
medo: 56
estado: 54
empresas: 54
visita: 54
terrorismo: 54
mundo: 54
campanha: 54
ajuda: 53
debate: 52
farsa: 52
morte: 51
escravos: 51
prisões: 51
Segurança: 50
fundo soberano: 50
OMS: 49
prémio: 48
críticas: 48
congresso: 47
Investimento: 47
BES: 47
direitos: 47
Violência: 47
palhaçada: 47
electricidade: 46
febre-amarela: 46
Ébola: 45
Benguela: 45
importação: 45
doenças: 45
Agricultura: 44
Porto: 44
negociatas: 44
história: 44
ameaças: 44
Luvualu: 44
Receitas: 43
FNLA: 43
TAAG: 42
Governador: 42
Literatura: 42
acusações: 42
tribunal constitucional: 42
Kalupeteka: 42
27 de maio: 41
golpe: 41
Marcolino Moço: 41
Portugueses: 41
balanço: 40
Timor Leste: 40
Amnistia Internacional: 40
discurso: 40
Assassinatos: 40
Obiang: 40
Queda: 40
relatório: 39
PS: 39
armas: 39
família: 39
impunidade: 39
Educação: 38
Manifestações: 38
greve: 38
advogados: 38
Pravda: 37
pobreza: 37
inflação: 37
crimes: 37
isabel: 37
rei: 37
África do Sul: 36
Gestão: 36
tpa: 36
mortalidade: 36
crime: 36
observadores: 36
generais: 35
branqueamento: 35
exportações: 35
kangamba: 35
leis: 35
Marcos Mavungo: 35
Defesa: 34
BPI: 34
embaixador: 34
lixo: 34
ataques: 34
sic: 34
Coreia do Norte: 33
água: 33
Ataque: 33
Empresários: 32
